Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[1   ]=332.62               x[1776]=146.014              x[3551]=154.17               x[5326]=112.42               
x[2   ]=210.274              x[1777]=351.267              x[3552]=67.1638              x[5327]=255.439              
x[3   ]=332.681              x[1778]=147.077              x[3553]=153.679              x[5328]=114.587              
x[4   ]=202.298              x[1779]=350.842              x[3554]=67.1705              x[5329]=257.209              
x[5   ]=332.145              x[1780]=147.89               x[3555]=153.209              x[5330]=116.955              
x[6   ]=194.632              x[1781]=350.378              x[3556]=67.2465              x[5331]=259.075              
x[7   ]=331.147              x[1782]=148.59               x[3557]=152.746              x[5332]=119.843              
x[8   ]=187.085              x[1783]=349.941              x[3558]=67.1227              x[5333]=261.168              
x[9   ]=329.603              x[1784]=149.203              x[3559]=152.175              x[5334]=123.321              
x[10  ]=179.999              x[1785]=349.55               x[3560]=67.0705              x[5335]=263.513              
x[11  ]=327.739              x[1786]=149.612              x[3561]=151.617              x[5336]=127.174              
x[12  ]=173.434              x[1787]=349.152              x[3562]=67.0716              x[5337]=265.993              
x[13  ]=325.655              x[1788]=149.954              x[3563]=151.058              x[5338]=131.729              
x[14  ]=167.141              x[1789]=348.809              x[3564]=66.8556              x[5339]=268.719              
x[15  ]=323.269              x[1790]=150.25               x[3565]=150.383              x[5340]=137.058              
x[16  ]=161.407              x[1791]=348.536              x[3566]=66.6931              x[5341]=271.694              
x[17  ]=320.789              x[1792]=150.385              x[3567]=149.715              x[5342]=142.939              
x[18  ]=156.255              x[1793]=348.279              x[3568]=66.564               x[5343]=274.767              
x[19  ]=318.298              x[1794]=150.493              x[3569]=149.036              x[5344]=149.681              
x[20  ]=151.403              x[1795]=348.098              x[3570]=66.1964              x[5345]=278.004              
x[21  ]=315.691              x[1796]=150.593              x[3571]=148.234              x[5346]=157.331              
x[22  ]=147.109              x[1797]=348.005              x[3572]=65.8583              x[5347]=281.354              
x[23  ]=313.15               x[1798]=150.568              x[3573]=147.43               x[5348]=165.629              
x[24  ]=143.371              x[1799]=347.945              x[3574]=65.5268              x[5349]=284.607              
x[25  ]=310.729              x[1800]=150.549              x[3575]=146.61               x[5350]=174.84               
x[26  ]=139.887              x[1801]=347.974              x[3576]=64.9266              x[5351]=287.766              
x[27  ]=308.297              x[1802]=150.555              x[3577]=145.659              x[5352]=184.964              
x[28  ]=136.894              x[1803]=348.105              x[3578]=64.3213              x[5353]=290.715              
x[29  ]=306.01               x[1804]=150.465              x[3579]=144.702              x[5354]=195.704              
x[30  ]=134.381              x[1805]=348.281              x[3580]=63.6828              x[5355]=293.187              
x[31  ]=303.901              x[1806]=150.411              x[3581]=143.724              x[5356]=207.287              
x[32  ]=132.033              x[1807]=348.557              x[3582]=62.7292              x[5357]=295.106              
x[33  ]=301.816              x[1808]=150.408              x[3583]=142.615              x[5358]=219.724              
x[34  ]=130.087              x[1809]=348.945              x[3584]=61.7156              x[5359]=296.321              
x[35  ]=299.896              x[1810]=150.337              x[3585]=141.499              x[5360]=-10.0681             
x[36  ]=128.527              x[1811]=349.386              x[3586]=60.6036              x[5361]=201.853              
x[37  ]=298.16               x[1812]=150.325              x[3587]=140.369              x[5362]=3.58729              
x[38  ]=127.042              x[1813]=349.934              x[3588]=59.098               x[5363]=203.792              
x[39  ]=296.444              x[1814]=150.388              x[3589]=139.117              x[5364]=15.9683              
x[40  ]=125.869              x[1815]=350.599              x[3590]=57.4372              x[5365]=205.229              
